Issue Type,Summary,Epic Name,Epic Link,Labels,Fix Version,GitHub Ref,Description
Epic,Project scaffold & CI,RPE-E0 Scaffold & CI,,rpe,v0.9-engine,,"Monorepo + Vite/React18/TS + CI foundation. Phase 0."
Story,Stand up monorepo (workspaces) + Vite/React18/TS strict,,RPE-E0 Scaffold & CI,rpe,v0.9-engine,,"pnpm workspaces; packages/engine + apps/web; TS strict."
Story,ESLint/Prettier/Vitest config,,RPE-E0 Scaffold & CI,rpe,v0.9-engine,,"Shared lint/format/test config across workspace."
Story,GitHub Actions CI (lint+typecheck+test+build),,RPE-E0 Scaffold & CI,rpe;migrated-from-github,v0.9-engine,#2,"Run lint, typecheck, test, build on PR. Migrated from GH #2."
Story,Legacy localStorage shape doc + migration shim,,RPE-E0 Scaffold & CI,rpe,v0.9-engine,,"Document old changeableRPE/calculatedRPE keys; migrate to versioned key."
Epic,Calc engine (correctness),RPE-E1 Calc Engine,,rpe,v0.9-engine,,"Pure framework-agnostic TS engine, proven by golden-number tests. Phase 1."
Story,Engine types + input normalization/validation,,RPE-E1 Calc Engine,rpe,v0.9-engine,,"DealInputs; clamp percentDown/vacancy/expense; coerce empty->0; allow decimals; null not NaN."
Story,Loan payment + amortization schedule (0% guard),,RPE-E1 Calc Engine,rpe,v0.9-engine,,"monthlyPayment with 0% linear fallback; per-month interest/principal/balance; totalInterest from schedule."
Story,Screener metrics - corrected cap/NOI/DSCR/CoC/PITI,,RPE-E1 Calc Engine,rpe,v0.9-engine,,"EGI-based NOI; cap; monthly cash flow; cash-on-cash; DSCR; real PITI. Replaces fabricated interest formulas."
Story,Fix GRM (annual rent) + pass/fail direction model,,RPE-E1 Calc Engine,rpe,v0.9-engine,,"GRM uses annual rent; each metric exposes direction higher|lower + threshold (fixes inverted GRM light)."
Story,New screener metrics (break-even/expense ratio/debt yield/LTV/per-unit),,RPE-E1 Calc Engine,rpe,v0.9-engine,,"Break-even occupancy %, expense ratio, LTV, debt yield, gross yield, $/unit, $/sqft, 50% rule flag."
Story,Golden-number unit tests,,RPE-E1 Calc Engine,rpe;migrated-from-github,v0.9-engine,#17,"Hand-verified fixtures incl. 0% interest, 100% down, $0 price, decimals, IRR vs spreadsheet. Migrated from GH #17."
Story,Decimal input handling,,RPE-E1 Calc Engine,rpe;migrated-from-github,v0.9-engine,#54,"Allow decimal values in all numeric inputs. Migrated from GH #54."
Epic,SPA screener UI,RPE-E2 SPA Screener,,rpe,v0.95-spa,,"Controlled-input React UI replacing the broken beta. Phase 2."
Story,Shared UI controlled inputs (no DOM writes),,RPE-E2 SPA Screener,rpe,v0.95-spa,,"@rpe/ui controlled components; single source of truth; remove all document.getElementById().value writes."
Story,Results panel + per-metric thresholds/tooltips,,RPE-E2 SPA Screener,rpe,v0.95-spa,,"Render results with direction-aware pass/fail; tooltips show real formula text."
Story,Fix broken state reset (root cause removed),,RPE-E2 SPA Screener,rpe;migrated-from-github,v0.95-spa,#50,"Reset works repeatably once inputs are controlled. Migrated from GH #50."
Story,Intl.NumberFormat + edge-case dash rendering,,RPE-E2 SPA Screener,rpe,v0.95-spa,,"Replace custom formatCurrency; render — for null/undefined metrics; correct negatives."
Story,Responsive layout / a11y baseline,,RPE-E2 SPA Screener,rpe,v0.95-spa,,"Mobile-friendly layout; labels/aria; keyboard nav."
Epic,Scenarios share & export,RPE-E3 Scenarios,,rpe,v0.95-spa,,"Multi-deal workflow: save, compare, share, export. Phase 3."
Story,Multiple named saved deals (versioned localStorage),,RPE-E3 Scenarios,rpe,v0.95-spa,,"Save/load/delete named scenarios under rpe.v1.scenarios."
Story,Compare 2-4 scenarios side-by-side,,RPE-E3 Scenarios,rpe,v0.95-spa,,"Comparison table with delta highlighting."
Story,URL share (encoded state),,RPE-E3 Scenarios,rpe;migrated-from-github,v0.95-spa,#53,"Serialize inputs to compact URL param; hydrate transient scenario. Migrated from GH #53."
Story,CSV export,,RPE-E3 Scenarios,rpe,v0.95-spa,,"Export inputs + results to CSV."
Story,PDF export (print pipeline),,RPE-E3 Scenarios,rpe;migrated-from-github,v0.95-spa,#49,"Clean PDF via print stylesheet (not html2canvas screenshot). Migrated from GH #49."
Epic,Pro-forma mode,RPE-E4 Pro-forma,,rpe,v1.0.0,,"Multi-year analysis: projection, amortization, tax, IRR, exit. Phase 4."
Story,Multi-year projection (rent/expense/appreciation growth),,RPE-E4 Pro-forma,rpe,v1.0.0,,"Year-by-year cash flow, equity, return over hold period."
Story,Amortization numbers + graph,,RPE-E4 Pro-forma,rpe;migrated-from-github,v1.0.0,#18,"Schedule table + balance/interest/principal chart. Migrated from GH #18."
